Gene,gene.description
AT5G37690,GDSL esterase/lipase At5g37690 [Source:UniProtKB/Swiss-Prot;Acc:Q9FHQ1]
AT1G68850,Peroxidase 11 [Source:UniProtKB/Swiss-Prot;Acc:Q96519]
AT2G33790,Non-classical arabinogalactan protein 30 [Source:UniProtKB/Swiss-Prot;Acc:P93013]
AT1G49430,Long chain acyl-CoA synthetase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9XIA9]
AT5G55180,O-Glycosyl hydrolases family 17 protein [Source:TAIR;Acc:AT5G55180]
AT4G24140,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT4G24140]
AT1G65970,Peroxiredoxin-2C [Source:UniProtKB/Swiss-Prot;Acc:Q9SRZ4]
AT1G53940,GDSL-motif lipase 2 [Source:TAIR;Acc:AT1G53940]
AT4G36430,Peroxidase 49 [Source:UniProtKB/Swiss-Prot;Acc:O23237]
AT3G44550,Probable fatty acyl-CoA reductase 5 [Source:UniProtKB/Swiss-Prot;Acc:Q0WRB0]
AT3G23920,"Beta-amylase 1, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9LIR6]"
AT1G74460,GDSL esterase/lipase At1g74460 [Source:UniProtKB/Swiss-Prot;Acc:Q9CA68]
AT3G53260,Phenylalanine ammonia-lyase 2 [Source:UniProtKB/Swiss-Prot;Acc:P45724]
AT3G18400,NAC domain containing protein 58 [Source:TAIR;Acc:AT3G18400]
AT3G03530,Non-specific phospholipase C4 [Source:UniProtKB/Swiss-Prot;Acc:Q9SRQ7]
AT5G23190,Cytochrome P450 86B1 [Source:UniProtKB/Swiss-Prot;Acc:Q9FMY1]
AT2G36120,Glycine-rich protein DOT1 [Source:UniProtKB/Swiss-Prot;Acc:Q9SIH2]
AT1G80820,Cinnamoyl-CoA reductase 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9SAH9]
AT5G07475,Cupredoxin superfamily protein [Source:TAIR;Acc:AT5G07475]
AT5G58860,Cytochrome P450 86A1 [Source:UniProtKB/Swiss-Prot;Acc:P48422]
AT1G54540,Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family [Source:TAIR;Acc:AT1G54540]
AT2G40330,Abscisic acid receptor PYL6 [Source:UniProtKB/Swiss-Prot;Acc:Q8S8E3]
AT5G25350,EIN3-binding F-box protein 2 [Source:UniProtKB/Swiss-Prot;Acc:Q708Y0]
AT2G40370,Laccase-5 [Source:UniProtKB/Swiss-Prot;Acc:Q9SIY8]
AT1G19230,Riboflavin synthase-like superfamily protein [Source:TAIR;Acc:AT1G19230]
AT2G16750,Protein kinase protein with adenine nucleotide alpha hydrolases-like domain [Source:TAIR;Acc:AT2G16750]
AT2G37360,ABC transporter G family member 2 [Source:UniProtKB/Swiss-Prot;Acc:Q9ZUT0]
AT5G19410,ABC transporter G family member 23 [Source:UniProtKB/Swiss-Prot;Acc:Q3E9B8]
AT2G22122,unknown protein; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink). [Source:TAIR;Acc:AT2G22122]
AT1G76930,extensin 4 [Source:TAIR;Acc:AT1G76930]
AT1G05660,Pectin lyase-like superfamily protein [Source:TAIR;Acc:AT1G05660]
AT3G53510,ABC transporter G family member 20 [Source:UniProtKB/Swiss-Prot;Acc:Q9LFG8]
AT5G64100,Peroxidase 69 [Source:UniProtKB/Swiss-Prot;Acc:Q96511]
AT5G13900,Lipid transfer-like protein VAS [Source:UniProtKB/Swiss-Prot;Acc:Q9FFY3]
AT5G09480,hydroxyproline-rich glycoprotein family protein [Source:TAIR;Acc:AT5G09480]
AT1G18970,Germin-like protein subfamily T member 1 [Source:UniProtKB/Swiss-Prot;Acc:P92995]
AT5G47530,Cytochrome b561 and DOMON domain-containing protein At5g47530 [Source:UniProtKB/Swiss-Prot;Acc:Q9FGK4]
AT5G13580,ABC transporter G family member 6 [Source:UniProtKB/Swiss-Prot;Acc:Q9FNB5]
AT5G62130,Per1-like family protein [Source:TAIR;Acc:AT5G62130]
AT5G07130,Laccase-13 [Source:UniProtKB/Swiss-Prot;Acc:Q9LYQ2]
AT3G01690,alpha/beta-Hydrolases superfamily protein [Source:TAIR;Acc:AT3G01690]
AT1G23190,"Probable phosphoglucomutase, cytoplasmic 1 [Source:UniProtKB/Swiss-Prot;Acc:O49299]"
AT3G32980,Peroxidase 32 [Source:UniProtKB/Swiss-Prot;Acc:Q9LHB9]
AT4G15340,Arabidiol synthase [Source:UniProtKB/Swiss-Prot;Acc:Q9FR95]
AT5G36160,Tyrosine aminotransferase [Source:UniProtKB/Swiss-Prot;Acc:Q9LVY1]
AT3G50400,GDSL esterase/lipase At3g50400 [Source:UniProtKB/Swiss-Prot;Acc:Q9M2R9]
AT2G21100,Dirigent protein 23 [Source:UniProtKB/Swiss-Prot;Acc:Q84TH6]
AT1G77590,"Long chain acyl-CoA synthetase 9, chloroplastic [Source:UniProtKB/Swiss-Prot;Acc:Q9CAP8]"
AT1G53270,ABC transporter G family member 10 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAH4]
AT4G02330,Probable pectinesterase/pectinesterase inhibitor 41 [Source:UniProtKB/Swiss-Prot;Acc:Q8RXK7]
AT4G30810,Serine carboxypeptidase-like 29 [Source:UniProtKB/Swiss-Prot;Acc:Q949Q7]
AT5G52790,DUF21 domain-containing protein At5g52790 [Source:UniProtKB/Swiss-Prot;Acc:Q9LTD8]
AT1G44800,WAT1-related protein At1g44800 [Source:UniProtKB/Swiss-Prot;Acc:Q9LPF1]
AT3G45010,Serine carboxypeptidase-like 48 [Source:UniProtKB/Swiss-Prot;Acc:Q56WF8]
AT4G10770,Oligopeptide transporter 7 [Source:UniProtKB/Swiss-Prot;Acc:O82485]
AT1G01120,3-ketoacyl-CoA synthase 1 [Source:UniProtKB/Swiss-Prot;Acc:Q9MAM3]
AT3G44540,Probable fatty acyl-CoA reductase 4 [Source:UniProtKB/Swiss-Prot;Acc:Q9LXN3]
